"ID","Name","locatedInCity","UID","IRI"
"10606","COMPO Jardin AG","Allschwil","CHE-101.372.249","https://register.ld.admin.ch/zefix/company/594217"
"10115","Medol","Murten / Morat","CHE-106.502.654","https://register.ld.admin.ch/zefix/company/219348"
"10125","Renovita Wilen GmbH","Wilen b. Wil","CHE-131.755.744","https://register.ld.admin.ch/zefix/company/1190792"
"10127","Eric Schweizer AG","Steffisburg","CHE-107.912.109","https://register.ld.admin.ch/zefix/company/166432"
"11596","Douglas Switzerland GmbH","Zug ","CHE-216.279.317","https://register.ld.admin.ch/zefix/company/1266400"
"11049","ADAMA Agriculture Swiss AG","Schaffhausen","CHE-114.659.950","https://register.ld.admin.ch/zefix/company/932153"
"10213","Omya (Schweiz) AG","Oftringen","CHE-110.344.938","https://register.ld.admin.ch/zefix/company/730369"
"11065","Albaugh Europe Sàrl","Lausanne","CHE-112.103.297","https://register.ld.admin.ch/zefix/company/773824"
"11028","Rovagro SA","Oulens-sous-Echallens","CHE-460.068.050","https://register.ld.admin.ch/zefix/company/1132670"
"11644","SBM Life Science SA","Freiburg","CHE-499.330.129","https://register.ld.admin.ch/zefix/company/1279862"
"11037","GNS Consult AG","Tägerwilen ","CHE-114.285.766","https://register.ld.admin.ch/zefix/company/907877"
